Name,Lat,Lng
"Santa Cruz Xoxocotlan, Oaxaca",17.0193584,-96.74942159999999
"Matamoros, Guerrero",18.4505555,-101.8413888
"San Pedro, Sonora",27.0171299,-109.6239011
"San Juan De Sabinas, Tamaulipas",27.9270787,-101.3023954
"Matamoros, Coahuila De Zaragoza",25.5260426,-103.2259525
"El Llano, Zacatecas",23.2299152,-102.6767094
"Ramos Arizpe, Tamaulipas",22.2599602,-97.8361199
"Rincon De Romos, Tabasco",22.2289132,-102.3206187
"Sabinas, Tlaxcala",27.8647835,-101.1334267
"Hidalgo, Tlaxcala",19.3162266,-98.2378853
"Piedras Negras, Mexico",28.6916182,-100.5408622
"Juarez, Puebla",19.0513101,-98.2178404
"Huitiupan, Veracruz De Ignacio De La Llave",17.1705587,-92.6853429
"Pabellon De Arteaga, Queretaro",22.144474,-102.274822
"Ixtapangajoya, Sonora",17.495665,-93.001862
"Viesca, Sonora",25.3453848,-102.8083503
"Pijijiapan, Hidalgo",15.6919185,-93.2095719
"Calvillo, Quintana Roo",21.8573666,-102.6949386
"Matamoros, Tabasco",17.553794,-92.9029149
"Nadadores, Hidalgo",27.0253414,-101.5922319
"Calvillo, Tabasco",21.8468345,-102.7186454
"Asientos, Mexico",22.2384759,-102.0890156
"Monclova, Nuevo Leon",25.8145436,-100.3982221
"San Pedro, Tlaxcala",19.3066666,-98.14
"Aguascalientes, Jalisco",21.9057027,-102.2604448
"Tuzantan, Michoacan De Ocampo",19.2066671,-100.5753759
"San Ildefonso Villa Alta, Puebla",17.3385986,-96.1523763
"Tepezala, Aguascalientes",22.2241419,-102.1738022
"San Mateo Rio Hondo, Oaxaca",16.1694647,-96.50096180000001
"Metapa, Guerrero",14.8404304,-92.18839799999999
"Las Margaritas, Michoacan De Ocampo",19.7106758,-101.2077552
"Tepezala, Tabasco",22.2241419,-102.1738022
"Cosio, Quintana Roo",20.4558455,-86.98384519999999
"Asientos, Campeche",22.2384759,-102.0890156
"Lamadrid, Veracruz De Ignacio De La Llave",19.9512132,-97.2122028
"San Francisco De Los Romo, Guanajuato",22.0745573,-102.2690988
"Aguascalientes, Sinaloa",21.8574258,-102.2815466
"Mitontic, Puebla",16.8608333,-92.62823189999999
"Mazapa De Madero, Mexico",15.387171,-92.187527
"Torreon, Michoacan De Ocampo",19.7333947,-101.1964253
"Asientos, Aguascalientes",22.2384759,-102.0890156
"Las Margaritas, Chihuahua",28.6153008,-105.9854114
"Palenque, Veracruz De Ignacio De La Llave",18.3744739,-96.307323
"Ixtacomitan, Sonora",17.4295464,-93.0973264
"San Sebastian Teitipac, Oaxaca",16.9512683,-96.6140377
"Huitiupan, Tlaxcala",17.1705587,-92.6853429
"Torreon, San Luis Potosi",22.1383813,-100.9145352
"Jimenez, Mexico",27.1301401,-104.9230692
"Aguascalientes, Guanajuato",21.019698,-101.2747282
"San Juan Petlapa, Puebla",17.4683504,-96.0359558
"Sabinas, Durango",27.8647835,-101.1334267
"Aguascalientes, Tabasco",21.9050519,-102.2983904
"Santa Maria Atzompa, Oaxaca",17.0916983,-96.76813659999999
"El Porvenir, Mexico",31.2412038,-105.875224
"Totolapa, Jalisco",16.5449932,-92.6778882
"La Independencia, Tamaulipas",24.2286112,-99.5230555
"Aguascalientes, Campeche",21.8767219,-102.3153793
"Hidalgo, Hidalgo",26.1003547,-98.2630684
"Tonala, Jalisco",20.6237413,-103.2413723
"Tuxtla Chico, Michoacan De Ocampo",14.9374337,-92.1671288
"Reforma, Jalisco",20.668986,-103.3334617
"San Andres Duraznal, Mexico",17.1328015,-92.80475039999999
"San Francisco De Los Romo, Veracruz De Ignacio De La Llave",22.0745573,-102.2690988
"Hidalgo, Oaxaca",15.9258292,-96.4200279
"Mitontic, Zacatecas",16.8608333,-92.62823189999999
"Calvillo, Tamaulipas",25.8430412,-97.5289581
"Tuxtla Gutierrez, Yucatan",16.7947632,-93.09889559999999
"Tepezala, Michoacan De Ocampo",22.2241419,-102.1738022
"Guerrero, Morelos",30.72665799999999,-115.990871
"Rincon De Romos, Guanajuato",22.2289132,-102.3206187
"Tuxtla Gutierrez, Jalisco",16.7642961,-93.1791712
"Lamadrid, Queretaro",20.5887932,-100.3898881
"Ixhuatan, Mexico",16.3489502,-94.48255119999999
"Tuxtla Chico, Yucatan",14.9374337,-92.1671288
"Asientos, Morelos",18.8437181,-99.19629859999999
"San Jose Chiltepec, Puebla",17.9552317,-96.1561301
"Reforma, Puebla",19.0651682,-98.23667929999999
"Jesus Maria, Aguascalientes",21.9635744,-102.3441041
"Villaflores, Jalisco",16.2329693,-93.2734517
"Mapastepec, Puebla",15.4329682,-92.8978399
"Sabinas, Hidalgo",26.5088029,-100.1759285
"Metapa, Sonora",14.8404304,-92.18839799999999
"Calvillo, Baja California",21.7913906,-102.7469123
"Parras, Hidalgo",25.4492883,-102.1747077
"Huitiupan, Michoacan De Ocampo",17.1705587,-92.6853429
"Pabellon De Arteaga, Chihuahua",22.144474,-102.274822
"San Francisco De Los Romo, San Luis Potosi",22.0400425,-102.279732
"Tumbala, Jalisco",17.2769854,-92.3158981
"Soyalo, Veracruz De Ignacio De La Llave",16.8905692,-92.9227329
"San Pedro, Guerrero",17.2638122,-100.8816546
"San Pedro, Tamaulipas",23.8641666,-99.38083329999999
"San Francisco Ixhuatan, Veracruz De Ignacio De La Llave",16.3489502,-94.48255119999999
"Jesus Maria, Sinaloa",25.6144444,-108.7808333
"Mazapa De Madero, Jalisco",15.387171,-92.187527
"Huitiupan, Hidalgo",17.1705587,-92.6853429
"Salto De Agua, Jalisco",20.5132465,-103.1756761
"Tepezala, Ciudad De Mexico",19.4513658,-99.1180328
"Ramos Arizpe, Chiapas",25.5330371,-100.9762788
"Pantelho, Michoacan De Ocampo",17.0050996,-92.46906919999999
"Torreon, Mexico",25.5428443,-103.4067861
"Jitotol, Mexico",17.0667204,-92.86038239999999
"San Andres Duraznal, Jalisco",17.1328015,-92.80475039999999
"Juarez, Nuevo Leon",25.6516471,-100.1059194
"Villa Union, Guanajuato",21.0190145,-101.2573586
"San Francisco De Los Romo, Quintana Roo",22.0745573,-102.2690988
"Nadadores, Mexico",27.0253414,-101.5922319
"Santa Maria Del Tule, Oaxaca",17.0447413,-96.6330819
"Villa De Tamazulapam Del Progreso, Oaxaca",17.6724247,-97.57204809999999
"Ocozocoautla De Espinosa, Guerrero",16.6799999,-93.2619399
"Oxchuc, Mexico",16.7880529,-92.3455194
"Jimenez, Coahuila De Zaragoza",29.0693962,-100.6771871
"Pabellon De Arteaga, Oaxaca",22.144474,-102.274822
"Reforma, Mexico",32.2855827,-110.9426103
"San Jose De Gracia, Tabasco",19.98917,-103.0213926
"Mazapa De Madero, Guerrero",15.387171,-92.187527
"Pijijiapan, Michoacan De Ocampo",15.6851709,-93.2122536
"Aguascalientes, Nayarit",21.8614775,-102.2800866
"Parras, Tlaxcala",25.4492883,-102.1747077
"Tepezala, Sinaloa",22.2241419,-102.1738022
"Calvillo, Hidalgo",21.8468345,-102.7186454
"Aguascalientes, Mexico",21.8852562,-102.2915677
"Matamoros, Sonora",32.474963,-116.873092
"Calvillo, Michoacan De Ocampo",18.5112231,-103.3551713
"Ixtapangajoya, Chihuahua",17.495665,-93.001862
"Jitotol, Jalisco",17.0667204,-92.86038239999999
"San Francisco De Los Romo, Campeche",22.0745573,-102.2690988
"Tumbala, Michoacan De Ocampo",17.2769854,-92.3158981
"Ocosingo, Tlaxcala",16.9087202,-92.0943704
"Socoltenango, Veracruz De Ignacio De La Llave",16.2439259,-92.3504194
"San Pablo Huitzo, Oaxaca",17.2761297,-96.88299889999999
"Tapilula, Mexico",17.2501706,-93.01677699999999
"Ixtacomitan, Tlaxcala",17.4295464,-93.0973264
"Metapa, Hidalgo",14.8404304,-92.18839799999999
"Muzquiz, San Luis Potosi",22.1211109,-100.9194744
"Ocotepec, Tlaxcala",19.5528459,-97.6471139
"San Miguel Soyaltepec, Oaxaca",18.2372452,-96.4045713
"Ixtapangajoya, Veracruz De Ignacio De La Llave",17.495665,-93.001862
"San Buenaventura, Nuevo Leon",27.0554305,-101.5441455
"Muzquiz, Morelos",27.8719037,-101.5059817
"Asientos, Coahuila De Zaragoza",27.883429,-101.1461807
"Saltillo, Chiapas",16.3947906,-91.95024339999999
"Tuxtla Chico, Veracruz De Ignacio De La Llave",14.9374337,-92.1671288
"Villa Union, Oaxaca",17.0801422,-96.7069258
"Sabinas, Mexico",27.8647835,-101.1334267
"Animas Trujano, Oaxaca",16.9892472,-96.7132783
"Osumacinta, Hidalgo",16.9359747,-93.0917209
"Ixtapa, Guanajuato",17.649423,-101.543504
"Tepezala, Mexico",22.2241419,-102.1738022
"Pabellon De Arteaga, Durango",22.144474,-102.274822
"Parras, Morelos",25.4492883,-102.1747077
"Ixtapangajoya, Michoacan De Ocampo",17.495665,-93.001862
"Guerrero, Tabasco",18.3892414,-92.8955149
